RollNumber,Name,Phone,Cgpa,Position,MemberPhoto
22K-2172,Amy Fitzgerald,(144)897-1390,2.07,Member,
21K-3064,Kevin Frazier,+1-426-648-6194x0116,2.7,Member,
20K-4997,Jeremy Adams,838-764-8692x1735,2.3,Member,
21K-2707,Brett Bishop,441-041-7846,2.83,Member,
21K-2432,Patricia Serrano,923.793.6096,3.38,Member,
21K-4308,Terry Moore,001-094-453-5520x8929,2.32,Member,
20K-1110,Daniel Novak,+1-341-015-2713,2.23,Member,
23K-1435,Daniel Scott,(018)020-3969x996,2.45,Member,
21K-1765,Benjamin Jarvis,659-686-3278x153,3.18,Member,
23K-4693,Dave Small,001-321-760-6566x33779,2.7,Member,
20K-4552,Kevin Stewart,641-333-7562,3.35,Member,
23K-4115,Catherine Cole,+1-270-223-2212,2.13,Member,
22K-1754,Denise Chan,001-102-011-3827,2.37,Member,
23K-3469,Walter Walker,001-690-704-1965x666,3.2,Member,
22K-1440,Sophia Frazier,+1-248-122-5442x230,3.41,Member,
23K-4907,Tracy Williamson,001-213-460-3947x0604,3.21,Member,
23K-4018,Lynn Montgomery,273-729-1953,2.04,Member,
20K-4634,Elijah Johnston,770.703.5825x91181,2.54,Member,
21K-3425,Carla Carter,469-340-3370x900,3.4,Member,
21K-3866,William Jones,916-376-0272,2.8,Member,
20K-1297,Alexandra Ayala,+1-606-081-3632,2.71,Member,
20K-3192,Ashley Gonzalez MD,(472)446-6895,2.8,Member,
21K-4301,Kathy Chen,398-183-6675,2.25,Member,
22K-1753,Brittany Martinez,+1-558-478-7364x493,3.63,Member,
21K-3921,Mike Robinson,220-985-0702,3.72,Member,
23K-2916,Andrew Hughes,542-526-7210x96566,3.91,Member,
22K-1461,Anna Olson,001-045-097-0656x2315,3.48,Member,
23K-4476,Roy Newton,892.480.5305,3.34,Member,
23K-2980,Lindsey Webb,001-018-227-7443,2.38,Member,
22K-1813,Jose Yoder,549-045-7943,2.36,Member,
23K-1396,Jordan Torres,(863)828-0802x6394,3.76,Member,
